municipality_code,municipality_name,uf,uf_name,region_code,region_name
1200013,Acrelândia,AC,Acre,1,Norte
1200054,Assis Brasil,AC,Acre,1,Norte
1200104,Brasiléia,AC,Acre,1,Norte
1200138,Bujari,AC,Acre,1,Norte
1200179,Capixaba,AC,Acre,1,Norte
1200203,Cruzeiro do Sul,AC,Acre,1,Norte
1200252,Epitaciolândia,AC,Acre,1,Norte
1200302,Feijó,AC,Acre,1,Norte
1200328,Jordão,AC,Acre,1,Norte
1200344,Manoel Urbano,AC,Acre,1,Norte
1200351,Marechal Thaumaturgo,AC,Acre,1,Norte
1200336,Mâncio Lima,AC,Acre,1,Norte
1200385,Plácido de Castro,AC,Acre,1,Norte
1200807,Porto Acre,AC,Acre,1,Norte
1200393,Porto Walter,AC,Acre,1,Norte
1200401,Rio Branco,AC,Acre,1,Norte
1200427,Rodrigues Alves,AC,Acre,1,Norte
1200435,Santa Rosa do Purus,AC,Acre,1,Norte
1200500,Sena Madureira,AC,Acre,1,Norte
1200450,Senador Guiomard,AC,Acre,1,Norte
1200609,Tarauacá,AC,Acre,1,Norte
1200708,Xapuri,AC,Acre,1,Norte
2700201,Anadia,AL,Alagoas,2,Nordeste
2700300,Arapiraca,AL,Alagoas,2,Nordeste
2700409,Atalaia,AL,Alagoas,2,Nordeste
2700508,Barra de Santo Antônio,AL,Alagoas,2,Nordeste
2700607,Barra de São Miguel,AL,Alagoas,2,Nordeste
2700706,Batalha,AL,Alagoas,2,Nordeste
2700904,Belo Monte,AL,Alagoas,2,Nordeste
2700805,Belém,AL,Alagoas,2,Nordeste
2701001,Boca da Mata,AL,Alagoas,2,Nordeste
2701100,Branquinha,AL,Alagoas,2,Nordeste
2701209,Cacimbinhas,AL,Alagoas,2,Nordeste
2701308,Cajueiro,AL,Alagoas,2,Nordeste
2701357,Campestre,AL,Alagoas,2,Nordeste
2701407,Campo Alegre,AL,Alagoas,2,Nordeste
2701506,Campo Grande,AL,Alagoas,2,Nordeste
2701605,Canapi,AL,Alagoas,2,Nordeste
2701704,Capela,AL,Alagoas,2,Nordeste
2701803,Carneiros,AL,Alagoas,2,Nordeste
2701902,Chã Preta,AL,Alagoas,2,Nordeste
2702009,Coité do Nóia,AL,Alagoas,2,Nordeste
2702108,Colônia Leopoldina,AL,Alagoas,2,Nordeste
2702207,Coqueiro Seco,AL,Alagoas,2,Nordeste
2702306,Coruripe,AL,Alagoas,2,Nordeste
2702355,Craíbas,AL,Alagoas,2,Nordeste
2702405,Delmiro Gouveia,AL,Alagoas,2,Nordeste
2702504,Dois Riachos,AL,Alagoas,2,Nordeste
2702553,Estrela de Alagoas,AL,Alagoas,2,Nordeste
2702603,Feira Grande,AL,Alagoas,2,Nordeste
2702702,Feliz Deserto,AL,Alagoas,2,Nordeste
2702801,Flexeiras,AL,Alagoas,2,Nordeste
2702900,Girau do Ponciano,AL,Alagoas,2,Nordeste
2703007,Ibateguara,AL,Alagoas,2,Nordeste
2703106,Igaci,AL,Alagoas,2,Nordeste
2703205,Igreja Nova,AL,Alagoas,2,Nordeste
2703304,Inhapi,AL,Alagoas,2,Nordeste
2703403,Jacaré dos Homens,AL,Alagoas,2,Nordeste
2703502,Jacuípe,AL,Alagoas,2,Nordeste
2703601,Japaratinga,AL,Alagoas,2,Nordeste
2703700,Jaramataia,AL,Alagoas,2,Nordeste
2703759,Jequiá da Praia,AL,Alagoas,2,Nordeste
2703809,Joaquim Gomes,AL,Alagoas,2,Nordeste
2703908,Jundiá,AL,Alagoas,2,Nordeste
2704005,Junqueiro,AL,Alagoas,2,Nordeste
2704104,Lagoa da Canoa,AL,Alagoas,2,Nordeste
2704203,Limoeiro de Anadia,AL,Alagoas,2,Nordeste
2704302,Maceió,AL,Alagoas,2,Nordeste
2704401,Major Isidoro,AL,Alagoas,2,Nordeste
2704906,Mar Vermelho,AL,Alagoas,2,Nordeste
2704500,Maragogi,AL,Alagoas,2,Nordeste
2704609,Maravilha,AL,Alagoas,2,Nordeste
2704708,Marechal Deodoro,AL,Alagoas,2,Nordeste
2704807,Maribondo,AL,Alagoas,2,Nordeste
2705002,Mata Grande,AL,Alagoas,2,Nordeste
2705101,Matriz de Camaragibe,AL,Alagoas,2,Nordeste
2705200,Messias,AL,Alagoas,2,Nordeste
2705309,Minador do Negrão,AL,Alagoas,2,Nordeste
2705408,Monteirópolis,AL,Alagoas,2,Nordeste
2705507,Murici,AL,Alagoas,2,Nordeste
2705606,Novo Lino,AL,Alagoas,2,Nordeste
2705903,Olho d'Água Grande,AL,Alagoas,2,Nordeste
2705705,Olho d'Água das Flores,AL,Alagoas,2,Nordeste
2705804,Olho d'Água do Casado,AL,Alagoas,2,Nordeste
2706000,Olivença,AL,Alagoas,2,Nordeste
2706109,Ouro Branco,AL,Alagoas,2,Nordeste
2706208,Palestina,AL,Alagoas,2,Nordeste
2706307,Palmeira dos Índios,AL,Alagoas,2,Nordeste
2706422,Pariconha,AL,Alagoas,2,Nordeste
2706448,Paripueira,AL,Alagoas,2,Nordeste
2706505,Passo de Camaragibe,AL,Alagoas,2,Nordeste
2706604,Paulo Jacinto,AL,Alagoas,2,Nordeste
2706703,Penedo,AL,Alagoas,2,Nordeste
2706802,Piaçabuçu,AL,Alagoas,2,Nordeste
2706901,Pilar,AL,Alagoas,2,Nordeste
2707008,Pindoba,AL,Alagoas,2,Nordeste
2707107,Piranhas,AL,Alagoas,2,Nordeste
2707305,Porto Calvo,AL,Alagoas,2,Nordeste
2707503,Porto Real do Colégio,AL,Alagoas,2,Nordeste
2707404,Porto de Pedras,AL,Alagoas,2,Nordeste
2707206,Poço das Trincheiras,AL,Alagoas,2,Nordeste
2706406,Pão de Açúcar,AL,Alagoas,2,Nordeste
2707602,Quebrangulo,AL,Alagoas,2,Nordeste
2707701,Rio Largo,AL,Alagoas,2,Nordeste
2707800,Roteiro,AL,Alagoas,2,Nordeste
2707909,Santa Luzia do Norte,AL,Alagoas,2,Nordeste
2708006,Santana do Ipanema,AL,Alagoas,2,Nordeste
2708105,Santana do Mundaú,AL,Alagoas,2,Nordeste
2708907,Satuba,AL,Alagoas,2,Nordeste
2708956,Senador Rui Palmeira,AL,Alagoas,2,Nordeste
2708204,São Brás,AL,Alagoas,2,Nordeste
2708303,São José da Laje,AL,Alagoas,2,Nordeste
2708402,São José da Tapera,AL,Alagoas,2,Nordeste
2708501,São Luís do Quitunde,AL,Alagoas,2,Nordeste
2708600,São Miguel dos Campos,AL,Alagoas,2,Nordeste
2708709,São Miguel dos Milagres,AL,Alagoas,2,Nordeste
2708808,São Sebastião,AL,Alagoas,2,Nordeste
2709004,Tanque d'Arca,AL,Alagoas,2,Nordeste
