cnae5,descricao_cnae5,scn67,setor_scn67,criterio_classificacao
02101,Produção florestal - florestas plantadas,0280,Produção florestal; pesca e aquicultura,"TSB=Sim; peso no SCN67=93,89%"
08991,Extração de minerais não-metálicos não especificados anteriormente,0580,Extração de carvão mineral e de minerais não-metálicos,"TSB=Sim; peso no SCN67=10,01%"
09904,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",0580,Extração de carvão mineral e de minerais não-metálicos,"TSB=Sim; peso no SCN67=4,62%"
07103,Extração de minério de ferro,0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração","TSB=Sim; peso no SCN67=100,00%"
07294,Extração de minerais metálicos não-ferrosos não especificados anteriormente,0792,"Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos","TSB=Sim; peso no SCN67=34,06%"
07219,Extração de minério de alumínio,0792,"Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos","TSB=Sim; peso no SCN67=12,66%"
17214,Fabricação de papel,1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=24,39%"
17109,Fabricação de celulose e outras pastas para a fabricação de papel,1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=17,94%"
17338,Fabricação de chapas e de embalagens de papelão ondulado,1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=14,98%"
17427,Fabricação de produtos de papel para usos doméstico e higiênico-sanitário,1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=11,35%"
17311,Fabricação de embalagens de papel,1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=10,55%"
17419,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=8,18%"
17494,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=5,36%"
17320,Fabricação de embalagens de cartolina e papel-cartão,1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=5,29%"
17222,Fabricação de cartolina e papel-cartão,1700,"Fabricação de celulose, papel e produtos de papel","TSB=Sim; peso no SCN67=1,95%"
19314,Fabricação de álcool,1992,Fabricação de biocombustíveis,"TSB=Sim; peso no SCN67=95,91%"
19322,"Fabricação de biocombustíveis, exceto álcool",1992,Fabricação de biocombustíveis,"TSB=Sim; peso no SCN67=4,09%"
20291,Fabricação de produtos químicos orgânicos não especificados anteriormente,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=19,21%"
20312,Fabricação de resinas termoplásticas,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=10,95%"
20215,Fabricação de produtos petroquímicos básicos,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=10,74%"
20193,Fabricação de produtos químicos inorgânicos não especificados anteriormente,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=9,12%"
20142,Fabricação de gases industriais,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=6,58%"
20126,Fabricação de intermediários para fertilizantes,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=3,69%"
20321,Fabricação de resinas termofixas,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=3,17%"
20118,Fabricação de cloro e álcalis,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=2,11%"
20339,Fabricação de elastômeros,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=2,00%"
20223,"Fabricação de intermediários para plastificantes, resinas e fibras",2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","TSB=Sim; peso no SCN67=1,87%"
20932,Fabricação de aditivos de uso industrial,2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos","TSB=Sim; peso no SCN67=12,21%"
23206,Fabricação de cimento,2300,Fabricação de produtos de minerais não-metálicos,"TSB=Sim; peso no SCN67=8,26%"
23117,Fabricação de vidro plano e de segurança,2300,Fabricação de produtos de minerais não-metálicos,"TSB=Sim; peso no SCN67=6,73%"
23192,Fabricação de artigos de vidro,2300,Fabricação de produtos de minerais não-metálicos,"TSB=Sim; peso no SCN67=5,20%"
23125,Fabricação de embalagens de vidro,2300,Fabricação de produtos de minerais não-metálicos,"TSB=Sim; peso no SCN67=3,70%"
24237,Produção de laminados longos de aço,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura","TSB=Sim; peso no SCN67=30,77%"
24229,Produção de laminados planos de aço,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura","TSB=Sim; peso no SCN67=29,75%"
24245,"Produção de relaminados, trefilados e perfilados de aço",2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura","TSB=Sim; peso no SCN67=7,66%"
24211,Produção de semi-acabados de aço,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura","TSB=Sim; peso no SCN67=7,55%"
24113,Produção de ferro-gusa,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura","TSB=Sim; peso no SCN67=5,67%"
24415,Metalurgia do alumínio e suas ligas,2492,Metalurgia de metais não-ferosos e a fundição de metais,"TSB=Sim; peso no SCN67=30,14%"
25128,Fabricação de esquadrias de metal,2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos","TSB=Sim; peso no SCN67=8,86%"
33210,Instalação de máquinas e equipamentos industriais,3300,"Manutenção, reparação e instalação de máquinas e equipamentos","TSB=Sim; peso no SCN67=12,68%"
35140,Distribuição de energia elétrica,3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=42,20%"
35115,Geração de energia elétrica,3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=36,28%"
35123,Transmissão de energia elétrica,3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=13,89%"
35204,Produção de gás; processamento de gás natural; distribuição de combustíveis g...,3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=4,52%"
