tipo_registro,scn67,setor_scn67,grupo_exposicao,multiplicador_producao,multiplicador_renda,multiplicador_emprego,multiplicador_producao_tsb,multiplicador_renda_tsb,multiplicador_emprego_tsb,observacao
Resumo industria 37 setores,,Produção,Industria,2.02,,,,,,"Media=2,02; minimo=1,55; maximo=2,58"
Resumo industria 37 setores,,Renda,Industria,,0.71,,,,,"Media=0,71; minimo=0,43; maximo=0,86"
Resumo industria 37 setores,,Emprego (postos/R$ milhão),Industria,,,11,,,,Media=11; minimo=4; maximo=33
Media por grupo,,Com participação em baixo carbono identificada (15 setores),Com exposicao TSB,1.97,0.72,9,,,,Media informada na comparacao dos multiplicadores medios.
Media por grupo,,Sem participação em baixo carbono identificada (22 setores),Sem exposicao TSB direta,2.05,0.71,13,,,,Media informada na comparacao dos multiplicadores medios.
Setorial extraido das figuras,0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",Alta exposicao TSB,1.77,0.8,5,1.77,0.8,5,"Peso baixo carbono=100,0%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,1700,"Fabricação de celulose, papel e produtos de papel",Alta exposicao TSB,2.09,0.74,9,2.09,0.74,9,"Peso baixo carbono=100,0%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,1992,Fabricação de biocombustíveis,Alta exposicao TSB,2.34,0.8,14,2.34,0.8,14,"Peso baixo carbono=100,0%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,3500,"Energia elétrica, gás natural e outras utilidades",Alta exposicao TSB,1.96,0.8,4,1.91,0.78,3,"Peso baixo carbono=97,2%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,3680,"Água, esgoto e gestão de resíduos",Alta exposicao TSB,1.55,0.86,10,1.41,0.79,9,"Peso baixo carbono=91,2%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,2491,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",Alta exposicao TSB,2.23,0.69,7,1.82,0.56,6,"Peso baixo carbono=81,4%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,4180,Construção,Alta exposicao TSB,1.86,0.78,20,1.45,0.61,15,"Peso baixo carbono=77,7%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",Exposicao intermediaria TSB,1.99,0.51,5,1.38,0.35,3,"Peso baixo carbono=69,4%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",Exposicao intermediaria TSB,1.88,0.74,6,0.88,0.35,3,"Peso baixo carbono=46,7%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,2492,Metalurgia de metais não ferosos e a fundição de metais,Exposicao intermediaria TSB,2.14,0.65,8,0.64,0.2,2,"Peso baixo carbono=30,1%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,2300,Fabricação de produtos de minerais não metálicos,Exposicao intermediaria TSB,2.15,0.75,13,0.51,0.18,3,"Peso baixo carbono=23,9%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,0580,Extração de carvão mineral e de minerais não metálicos,Exposicao intermediaria TSB,1.9,0.76,10,0.28,0.11,1,"Peso baixo carbono=14,6%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,3300,"Manutenção, reparação e instalação de máquinas e equipamentos",Exposicao intermediaria TSB,1.7,0.66,11,0.22,0.08,1,"Peso baixo carbono=12,7%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",Exposicao intermediaria TSB,1.98,0.56,6,0.24,0.07,1,"Peso baixo carbono=12,2%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
Setorial extraido das figuras,2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",Exposicao intermediaria TSB,2.03,0.74,11,0.18,0.07,1,"Peso baixo carbono=8,9%. Valores transcritos das figuras de decomposicao dos multiplicadores de producao, renda e emprego do relatorio."
