discussion_tier,priority_score,cnae_class,cnae_name,trade_value_usd,import_value_usd,export_value_usd,trade_balance_usd,domestic_production_value_brl_thousand,external_dependency_ratio,transition_relevance,rationale
1 - discutir primeiro,0.681040578948897,0600,Extração de petróleo e gás natural,31766790202.5,3862988168.5,27903802034.0,24040813865.5,618405357.0,0.0426151355405203,True,valor comercial muito alto; forte exposi??o importadora; forte peso exportador; relevante para transi??o energ?tica
1 - discutir primeiro,0.5522089038580189,1921,Fabricação de produtos do refino de petróleo,15588614940.919106,8560947166.975705,7027667773.943399,-1533279393.0323057,1339756264.0,0.0342432874416608,True,valor comercial muito alto; forte exposi??o importadora; forte peso exportador; relevante para transi??o energ?tica
1 - discutir primeiro,0.39529196242245124,2910,"Fabricação de automóveis, camionetas e utilitários",13639861901.650316,9953955984.112017,3685905917.5383,-6268050066.573717,275770861.0,0.1733765768024902,True,valor comercial muito alto; forte exposi??o importadora; forte peso exportador; relevante para transi??o energ?tica
1 - discutir primeiro,0.38802377396194543,2442,Metalurgia dos metais preciosos,5658678971.0,816020059.0,4842658912.0,4026638853.0,26149428.0,0.9914970738426808,True,valor comercial alto; forte peso exportador; depend?ncia externa muito alta; relevante para transi??o energ?tica
1 - discutir primeiro,0.3285996174211277,3042,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",3358055873.8729897,2313132579.206856,1044923294.6661336,-1268209284.5407224,7529893.0,0.8680653550040355,True,valor comercial alto; depend?ncia externa muito alta; relevante para transi??o energ?tica
1 - discutir primeiro,0.31117230329860934,2012,Fabricação de intermediários para fertilizantes,6318993075.768375,6268623160.327027,50369915.4413484,-6218253244.885679,32832866.0,0.5093370433849793,True,valor comercial alto; forte exposi??o importadora; depend?ncia externa alta; relevante para transi??o energ?tica
1 - discutir primeiro,0.3076129327403859,2029,Fabricação de produtos químicos orgânicos não especificados anteriormente,6570097189.5356245,5578865061.521033,991232128.0145912,-4587632933.506442,38736647.0,0.4739214669081569,True,valor comercial alto; forte exposi??o importadora; depend?ncia externa alta; relevante para transi??o energ?tica
1 - discutir primeiro,0.3007182573629854,2610,Fabricação de componentes eletrônicos,4453685576.556623,4368866051.725076,84819524.8315473,-4284046526.893529,14583189.0,0.6251386013410476,True,valor comercial alto; forte exposi??o importadora; depend?ncia externa muito alta; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.2749705051657302,0500,Extração de carvão mineral,1335937810.0,1335854826.0,82984.0,-1335771842.0,2241383.0,0.7627104441247546,True,depend?ncia externa muito alta; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.2728687301207667,1910,Coquerias,422537849.0,411490396.0,11047453.0,-400442943.0,516898.0,0.829105341852113,True,depend?ncia externa muito alta; relevante para transi??o energ?tica
