cnae_key,cnae_class,import_value_usd,export_value_usd,trade_balance_usd,import_net_weight_kg,export_net_weight_kg,domestic_production_value_brl_thousand,domestic_production_status,domestic_production_is_confidential,domestic_production_value_usd_comparable,apparent_consumption_value_usd,external_dependency_ratio,external_dependency_status,cnae_name,transition_relevance,rationale,trade_value_usd,import_share_trade,export_share_trade,import_penetration_ratio,export_orientation_ratio,economic_relevance_score,external_vulnerability_score,transition_score,priority_score,priority_tier,tsb_associated,tsb_cnae5_count,tsb_cnae5_list,tsb_scn67_list,tsb_setor_scn67_list,tsb_exposicao_scn67_max,tsb_grupo_exposicao,tsb_leitura_tecnica,tsb_rais_formal_jobs,tsb_rais_wage_mass,tsb_exposure_component_score,border_value_relevance_component_score,rais_scale_component_score,external_or_commercial_component_score,tsb_platform_alignment_score,tsb_platform_alignment_label
104,1921,8560947166.975705,7027667773.943399,-1533279393.0323057,12311175389.747566,10729258853.861794,1339756264.0,published,False,248470379909.8519,250003659302.88425,0.0342432874416608,calculated,Fabricação de produtos do refino de petróleo,True,valor comercial muito alto; forte exposição importadora; forte peso exportador; relevante para transição energética,15588614940.919106,0.549179462025441,0.450820537974559,0.0342432874416608,0.0282837245087045,0.9963898916967509,0.9963898916967509,1.0,0.9971119133574008,1 - priorizar,False,0,,,,0.0,Sem exposicao TSB direta,,27989.0,721134788.85,0.0,0.9971119133574008,0.9783393501805054,0.9963898916967509,0.5944,2 - aderencia media
232,2910,9953955984.112017,3685905917.5383,-6268050066.573717,897352374.1417907,304028549.24525195,275770861.0,published,False,51144295751.34792,57412345817.92163,0.1733765768024902,calculated,"Fabricação de automóveis, camionetas e utilitários",True,valor comercial muito alto; forte exposição importadora; forte peso exportador; relevante para transição energética,13639861901.650316,0.7297695574841315,0.2702304425158685,0.1733765768024902,0.0720687588594111,0.9927797833935018,1.0,1.0,0.9971119133574008,1 - priorizar,False,0,,,,0.0,Sem exposicao TSB direta,,76919.0,574704701.95,0.0,0.9971119133574008,0.9566787003610109,0.9927797833935018,0.5895,2 - aderencia media
2,0600,3862988168.5,27903802034.0,24040813865.5,6490788433.0,51175610925.5,618405357.0,published,False,114689080484.92438,90648266619.42438,0.0426151355405203,calculated,Extração de petróleo e gás natural,True,valor comercial muito alto; forte exposição importadora; forte peso exportador; relevante para transição energética,31766790202.5,0.1216046111009348,0.8783953888990651,0.0426151355405203,0.2432995531572676,1.0,0.9783393501805054,1.0,0.9913357400722024,1 - priorizar,False,0,,,,0.0,Sem exposicao TSB direta,,0.0,0.0,0.0,0.9913357400722024,0.030685920577617327,1.0,0.404,3 - aderencia baixa
164,2442,816020059.0,4842658912.0,4026638853.0,63814.0,2246551.0,26149428.0,published,False,4849656974.311648,823018121.3116484,0.9914970738426808,calculated,Metalurgia dos metais preciosos,True,valor comercial alto; forte peso exportador; dependência externa muito alta; relevante para transição energética,5658678971.0,0.1442068127882846,0.8557931872117154,0.9914970738426808,0.9985569984952096,0.9638989169675092,1.0,1.0,0.9855595667870036,1 - priorizar,False,0,,,,0.0,Sem exposicao TSB direta,,1527.0,10126294.280000001,0.0,0.9855595667870036,0.11191335740072202,1.0,0.4188,3 - aderencia baixa
115,2029,5578865061.521033,991232128.0145912,-4587632933.506442,1186223098.1215224,439228606.8568566,38736647.0,published,False,7184074935.979418,11771707869.48586,0.4739214669081569,calculated,Fabricação de produtos químicos orgânicos não especificados anteriormente,True,valor comercial alto; forte exposição importadora; dependência externa alta; relevante para transição energética,6570097189.5356245,0.8491297617950988,0.1508702382049011,0.4739214669081569,0.1379763068798578,0.9747292418772564,0.9855595667870036,1.0,0.984115523465704,1 - priorizar,True,1,20291,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral.",15661.0,139331846.69,0.6944,0.984115523465704,0.7689530685920578,0.9747292418772563,0.8238,1 - maior aderencia TSB
109,2012,6268623160.327027,50369915.4413484,-6218253244.885679,16664202284.19664,92302351.45740946,32832866.0,published,False,6089163311.088098,12307416555.973776,0.5093370433849793,calculated,Fabricação de intermediários para fertilizantes,True,valor comercial alto; forte exposição importadora; dependência externa alta; relevante para transição energética,6318993075.768375,0.9920288066726164,0.0079711933273836,0.5093370433849793,0.0082720585518911,0.9711191335740073,0.9891696750902528,1.0,0.984115523465704,1 - priorizar,True,1,20126,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral.",4212.0,28215305.18,0.6944,0.984115523465704,0.2527075812274368,0.9711191335740073,0.72,1 - maior aderencia TSB
185,2610,4368866051.725076,84819524.8315473,-4284046526.893529,339949513.545129,443916.6472596672,14583189.0,published,False,2704589340.981184,6988635867.874712,0.6251386013410476,calculated,Fabricação de componentes eletrônicos,True,valor comercial alto; forte exposição importadora; dependência externa muito alta; relevante para transição energética,4453685576.556623,0.980955205891044,0.0190447941089558,0.6251386013410476,0.0313613322164377,0.9566787003610108,0.9819494584837544,1.0,0.9754512635379062,1 - priorizar,False,0,,,,0.0,Sem exposicao TSB direta,,31064.0,130186365.14,0.0,0.9754512635379062,0.7545126353790613,0.9566787003610109,0.5383,2 - aderencia media
247,3042,2313132579.206856,1044923294.6661336,-1268209284.5407224,2197920.315390536,507093.6282221401,7529893.0,published,False,1396489365.016721,2664698649.557443,0.8680653550040355,calculated,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",True,valor comercial alto; dependência externa muito alta; relevante para transição energética,3358055873.8729897,0.6888308789630176,0.3111691210369823,0.8680653550040355,0.7482500911516946,0.9386281588447654,0.9963898916967509,1.0,0.9740072202166066,1 - priorizar,False,0,,,,0.0,Sem exposicao TSB direta,,2661.0,21826001.58,0.0,0.9740072202166066,0.22021660649819494,0.9963898916967509,0.437,3 - aderencia baixa
116,2031,3036578988.0217934,684630678.0315042,-2351948309.990289,2218111055.5783896,482775346.617931,68256894.0,published,False,12658881946.937843,15010830256.928131,0.2022925405222195,calculated,Fabricação de resinas termoplásticas,True,valor comercial alto; forte exposição importadora; relevante para transição energética,3721209666.0532975,0.816019321814344,0.183980678185656,0.2022925405222195,0.0540830288884331,0.9458483754512635,0.9747292418772564,1.0,0.968231046931408,1 - priorizar,True,1,20312,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral.",10288.0,81257384.84,0.6944,0.968231046931408,0.5992779783393501,0.9458483754512635,0.7816,1 - maior aderencia TSB
242,3011,2498875862.0,10022842.0,-2488853020.0,147885475.0,4731264.0,7756556.0,published,False,1438526146.806686,3927379166.806686,0.6362705906065627,calculated,Construção de embarcações e estruturas flutuantes,True,dependência externa muito alta; relevante para transição energética,2508898704.0,0.996005083033436,0.0039949169665639,0.6362705906065627,0.0069674381812587,0.9097472924187726,0.967509025270758,1.0,0.9509025270758122,1 - priorizar,False,0,,,,0.0,Sem exposicao TSB direta,,26851.0,135566908.15,0.0,0.9509025270758122,0.7617328519855595,0.9602888086642599,0.5341,2 - aderencia media
