cnae_key,cnae_class,tsb_associated,tsb_cnae5_count,tsb_cnae5_list,tsb_scn67_list,tsb_setor_scn67_list,tsb_exposicao_scn67_max,tsb_grupo_exposicao,tsb_leitura_tecnica
1,0500,False,0,,,,0.0,Sem exposicao TSB direta,
2,0600,False,0,,,,0.0,Sem exposicao TSB direta,
3,0710,True,1,07103,0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",1.0,Alta exposicao TSB,Exposição integral no recorte CNAE–SCN utilizado.
4,0721,True,1,07219,0792,"Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos",0.4672,Exposicao intermediaria TSB,"Exposição parcial, relevante para minerais estratégicos e transição."
5,0722,False,0,,,,0.0,Sem exposicao TSB direta,
6,0723,False,0,,,,0.0,Sem exposicao TSB direta,
7,0724,False,0,,,,0.0,Sem exposicao TSB direta,
8,0725,False,0,,,,0.0,Sem exposicao TSB direta,
9,0729,True,1,07294,0792,"Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos",0.4672,Exposicao intermediaria TSB,"Exposição parcial, relevante para minerais estratégicos e transição."
10,0810,False,0,,,,0.0,Sem exposicao TSB direta,
11,0891,False,0,,,,0.0,Sem exposicao TSB direta,
12,0892,False,0,,,,0.0,Sem exposicao TSB direta,
13,0893,False,0,,,,0.0,Sem exposicao TSB direta,
14,0899,True,1,08991,0580,Extração de carvão mineral e de minerais não-metálicos,0.1463,Exposicao intermediaria TSB,Exposição marginal no agregado do setor.
15,0910,False,0,,,,0.0,Sem exposicao TSB direta,
16,0990,True,1,09904,0580,Extração de carvão mineral e de minerais não-metálicos,0.1463,Exposicao intermediaria TSB,Exposição marginal no agregado do setor.
17,1011,False,0,,,,0.0,Sem exposicao TSB direta,
18,1012,False,0,,,,0.0,Sem exposicao TSB direta,
19,1013,False,0,,,,0.0,Sem exposicao TSB direta,
20,1020,False,0,,,,0.0,Sem exposicao TSB direta,
21,1031,False,0,,,,0.0,Sem exposicao TSB direta,
22,1032,False,0,,,,0.0,Sem exposicao TSB direta,
23,1033,False,0,,,,0.0,Sem exposicao TSB direta,
24,1041,False,0,,,,0.0,Sem exposicao TSB direta,
25,1042,False,0,,,,0.0,Sem exposicao TSB direta,
26,1043,False,0,,,,0.0,Sem exposicao TSB direta,
27,1051,False,0,,,,0.0,Sem exposicao TSB direta,
28,1052,False,0,,,,0.0,Sem exposicao TSB direta,
29,1053,False,0,,,,0.0,Sem exposicao TSB direta,
30,1061,False,0,,,,0.0,Sem exposicao TSB direta,
31,1062,False,0,,,,0.0,Sem exposicao TSB direta,
32,1063,False,0,,,,0.0,Sem exposicao TSB direta,
33,1064,False,0,,,,0.0,Sem exposicao TSB direta,
34,1065,False,0,,,,0.0,Sem exposicao TSB direta,
35,1066,False,0,,,,0.0,Sem exposicao TSB direta,
36,1069,False,0,,,,0.0,Sem exposicao TSB direta,
37,1071,False,0,,,,0.0,Sem exposicao TSB direta,
38,1072,False,0,,,,0.0,Sem exposicao TSB direta,
39,1081,False,0,,,,0.0,Sem exposicao TSB direta,
40,1082,False,0,,,,0.0,Sem exposicao TSB direta,
41,1091,False,0,,,,0.0,Sem exposicao TSB direta,
42,1092,False,0,,,,0.0,Sem exposicao TSB direta,
43,1093,False,0,,,,0.0,Sem exposicao TSB direta,
44,1094,False,0,,,,0.0,Sem exposicao TSB direta,
45,1095,False,0,,,,0.0,Sem exposicao TSB direta,
46,1096,False,0,,,,0.0,Sem exposicao TSB direta,
47,1099,False,0,,,,0.0,Sem exposicao TSB direta,
48,1111,False,0,,,,0.0,Sem exposicao TSB direta,
49,1112,False,0,,,,0.0,Sem exposicao TSB direta,
50,1113,False,0,,,,0.0,Sem exposicao TSB direta,
51,1121,False,0,,,,0.0,Sem exposicao TSB direta,
52,1122,False,0,,,,0.0,Sem exposicao TSB direta,
53,1210,False,0,,,,0.0,Sem exposicao TSB direta,
54,1220,False,0,,,,0.0,Sem exposicao TSB direta,
55,1311,False,0,,,,0.0,Sem exposicao TSB direta,
56,1312,False,0,,,,0.0,Sem exposicao TSB direta,
57,1313,False,0,,,,0.0,Sem exposicao TSB direta,
58,1314,False,0,,,,0.0,Sem exposicao TSB direta,
59,1321,False,0,,,,0.0,Sem exposicao TSB direta,
60,1322,False,0,,,,0.0,Sem exposicao TSB direta,
61,1323,False,0,,,,0.0,Sem exposicao TSB direta,
62,1330,False,0,,,,0.0,Sem exposicao TSB direta,
