ncm,tsb_associated,tsb_grupo_exposicao,tsb_exposicao_scn67_max,cnae_class_list,prodlist_code_list,tsb_cnae5_list,tsb_scn67_list
02011000,False,Sem exposicao TSB direta,0.0,1011,1011.2030,,
02012010,False,Sem exposicao TSB direta,0.0,1011,1011.2030,,
02012020,False,Sem exposicao TSB direta,0.0,1011,1011.2030,,
02012090,False,Sem exposicao TSB direta,0.0,1011,1011.2030,,
02013000,False,Sem exposicao TSB direta,0.0,1011;1013,1011.2030;1013.2040,,
02021000,False,Sem exposicao TSB direta,0.0,1011,1011.2020,,
02022010,False,Sem exposicao TSB direta,0.0,1011,1011.2020,,
02022020,False,Sem exposicao TSB direta,0.0,1011,1011.2020,,
02022090,False,Sem exposicao TSB direta,0.0,1011,1011.2020,,
02023000,False,Sem exposicao TSB direta,0.0,1011;1013,1011.2020;1013.2040,,
02031100,False,Sem exposicao TSB direta,0.0,1012,1012.2020,,
02031200,False,Sem exposicao TSB direta,0.0,1012;1013,1012.2020;1013.2040,,
02031900,False,Sem exposicao TSB direta,0.0,1012;1013,1012.2020;1013.2040,,
02032100,False,Sem exposicao TSB direta,0.0,1012,1012.2010,,
02032200,False,Sem exposicao TSB direta,0.0,1012;1013,1012.2010;1013.2040,,
02032900,False,Sem exposicao TSB direta,0.0,1012;1013,1012.2010;1013.2040,,
02041000,False,Sem exposicao TSB direta,0.0,1011,1011.2040,,
02042100,False,Sem exposicao TSB direta,0.0,1011,1011.2040,,
02042200,False,Sem exposicao TSB direta,0.0,1011;1013,1011.2040;1013.2040,,
02042300,False,Sem exposicao TSB direta,0.0,1011;1013,1011.2040;1013.2040,,
02043000,False,Sem exposicao TSB direta,0.0,1011,1011.2040,,
02044100,False,Sem exposicao TSB direta,0.0,1011,1011.2040,,
02044200,False,Sem exposicao TSB direta,0.0,1011;1013,1011.2040;1013.2040,,
02044300,False,Sem exposicao TSB direta,0.0,1011;1013,1011.2040;1013.2040,,
