year,uf,municipality_code,tsb_associated,tsb_grupo_exposicao,formal_jobs,wage_mass,cnae_count
2024,SP,355030,True,Alta exposicao TSB,18774,187620818.18,19
2024,RJ,330455,True,Alta exposicao TSB,17876,137950870.36,16
2024,MG,310620,True,Alta exposicao TSB,17030,151519772.67000002,14
2024,SP,355030,True,Exposicao intermediaria TSB,14097,130490135.53999999,18
2024,RJ,330630,True,Alta exposicao TSB,13373,46500370.89,5
2024,RJ,330630,True,Exposicao intermediaria TSB,11437,37307407.13,5
2024,PR,410690,True,Alta exposicao TSB,11164,94340790.75999999,14
2024,AM,130260,True,Alta exposicao TSB,7108,28890564.63,13
2024,GO,520870,True,Alta exposicao TSB,6648,72738533.22999999,13
2024,MG,313130,True,Alta exposicao TSB,6481,41217646.79,7
2024,ES,320500,True,Alta exposicao TSB,6353,57090841.2,9
2024,SP,351740,True,Alta exposicao TSB,6182,26172822.020000003,2
2024,PR,412710,True,Alta exposicao TSB,6179,33549947.72,5
2024,PE,261160,True,Alta exposicao TSB,6034,50810281.78,13
2024,RJ,330455,True,Exposicao intermediaria TSB,5692,25214303.96,16
2024,SP,351880,True,Exposicao intermediaria TSB,5473,23999859.830000002,14
2024,BA,292740,True,Alta exposicao TSB,5372,49085073.78,12
2024,MG,314590,True,Alta exposicao TSB,5329,35407373.6,3
2024,SP,350115,True,Exposicao intermediaria TSB,5129,27577713.37,2
2024,MG,316720,True,Alta exposicao TSB,4537,17457612.36,6
2024,PE,261640,True,Alta exposicao TSB,4512,11346822.52,5
2024,MS,500830,True,Alta exposicao TSB,4145,34774577.410000004,7
2024,PA,150130,True,Exposicao intermediaria TSB,3959,27693427.639999997,5
2024,PB,251370,True,Alta exposicao TSB,3958,10629288.620000001,5
2024,SP,355250,True,Alta exposicao TSB,3800,26769006.73,6
2024,MG,317010,True,Alta exposicao TSB,3716,19746994.35,8
2024,SP,351880,True,Alta exposicao TSB,3654,15841727.440000001,12
2024,BA,290570,True,Exposicao intermediaria TSB,3607,45750599.269999996,12
2024,MG,313630,True,Alta exposicao TSB,3602,13834836.979999999,2
2024,MA,211130,True,Exposicao intermediaria TSB,3415,25908924.28,6
2024,SP,352680,True,Alta exposicao TSB,3297,27850903.709999997,4
2024,MT,510623,True,Alta exposicao TSB,3264,16610908.43,1
2024,SP,355250,True,Exposicao intermediaria TSB,3161,19851964.73,11
2024,RS,431490,True,Alta exposicao TSB,3138,23799769.240000002,12
2024,PA,150420,True,Alta exposicao TSB,3113,14570636.19,4
2024,SP,354870,True,Exposicao intermediaria TSB,3087,16428753.450000001,10
2024,CE,231240,True,Alta exposicao TSB,3046,22023167.12,3
2024,SP,353870,True,Alta exposicao TSB,3044,19799473.849999998,13
2024,MG,316870,True,Alta exposicao TSB,2986,16565314.27,4
2024,BA,291080,True,Alta exposicao TSB,2903,10459060.4,10
2024,DF,530010,True,Alta exposicao TSB,2897,56263349.03,12
2024,PR,410690,True,Exposicao intermediaria TSB,2887,14327404.09,14
2024,MG,313670,True,Alta exposicao TSB,2886,14799952.91,10
2024,SP,352710,True,Alta exposicao TSB,2866,14991039.209999999,4
2024,SP,352590,True,Alta exposicao TSB,2836,20133107.259999998,11
2024,MS,500270,True,Alta exposicao TSB,2821,15225177.48,10
2024,DF,530010,True,Exposicao intermediaria TSB,2803,12201062.31,9
2024,GO,521850,True,Alta exposicao TSB,2692,14191144.09,2
2024,AM,130260,True,Exposicao intermediaria TSB,2640,8527250.49,12
2024,SP,352940,True,Exposicao intermediaria TSB,2611,22291519.82,13
2024,SP,352690,True,Alta exposicao TSB,2534,20198878.7,12
2024,MG,310670,True,Alta exposicao TSB,2524,9416011.57,11
2024,SP,353800,True,Alta exposicao TSB,2503,16910175.57,10
2024,MG,312230,True,Alta exposicao TSB,2489,11140614.57,10
2024,PI,221110,True,Alta exposicao TSB,2392,5951944.12,2
2024,SP,354780,True,Exposicao intermediaria TSB,2360,21079700.7,10
2024,SC,421830,True,Alta exposicao TSB,2300,13105792.18,3
2024,SP,350570,True,Alta exposicao TSB,2299,13599987.400000002,11
2024,PI,221100,True,Alta exposicao TSB,2289,13896359.07,9
